ISBN 13,Title of the Book,Author/s,Book type,Original Price (RRP)($),Discounted price($),ISBN-10,Published Date,Publisher,No. of Pages
9781101209356,A Maiden's Grave,Jeffery Deaver,ePUB,13.7,11.9912%OFF,1101209356,2000-01-01,Penguin Publishing Group,
9780755373970,No One Left To Tell (The Baltimore Series Book 2),Karen Rose,ePUB,11.99,,755373979,2012-01-05,Headline,451
9780755380558,The Snow Child,Eowyn Ivey,ePUB,12.99,19.9917%OFF,075538055X,2012-02-01,Headline,318
9780439023481,The Hunger Games (USA Edition),Suzanne Collins,Hardcover,45.25,,439023483,1st October 2008,Scholastic US,384
9781250232984,Made Things,Adrian Tchaikovsky,ePUB,6.22,5.99,1250232988,2019-11-05,Tor Publishing Group,
9780141926902,Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,ePUB,12.99,,141926902,2008-05-01,Penguin Random House Children's UK,288
9780571333141,book not found,,,,,,,,
9781407035536,Strata,Terry Pratchett,ePUB,14.99,26.5,1407035533,2009-11-24,Transworld,288
9780141966151,Misbehaving,Richard H. Thaler,ePUB,16.99,,141966157,2015-05-07,Penguin Books Ltd,256
9780230225916,book not found,,,,,,,,
9780804141116,Surrender Experiment,Michael A Singer,E-Book,,,804141118,1st January 2015,Potter/Tenspeed/Harmony,
9780141929385,My East End,Gilda O'Neill,ePUB,15.99,,141929383,2000-09-28,Penguin Books Ltd,384
9781471144011,Dork Diaries,Rachel Renee Russell,Paperback,,,1471144011,2nd June 2015,Simon & Schuster UK,304
9780141964089,The Promise,Lesley Pearse,ePUB,15.99,,141964081,19th January 2012,Penguin Books Ltd,528
9780141929576,Artemis Fowl and The Arctic Incident,Eoin Colfer,ePUB,9.99,,014192957X,2002-06-06,Penguin Random House Children's UK,336
9780141957869,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,ePUB,15.99,,141957867,2010-09-02,Penguin Books Ltd,304
9780141929743,Excalibur,Bernard Cornwell,ePUB,15.99,,014192974X,2007-11-01,Penguin Books Ltd,496
9780544836730,Myers+Chang at Home,Joanne Chang,ePUB,46.19,36.9920%OFF,544836731,2024-03-19,HarperCollins,320
9781328527905,Click,Kayla Miller,ePUB,,,1328527905,8th January 2019,HMH Books,
9780307965493,Mastering Color Knitting,Melissa Leapman,ePUB,15.42,12.9916%OFF,030796549X,2011-07-13,Clarkson Potter/Ten Speed,480
9780547928517,Son,Lois Lowry,ePUB,,,547928513,2nd October 2012,,400
9780646987286,How I Became The Fittest Woman On Earth,Tia-Clair Toomey,ePUB,17.59,16.99,646987283,2018-01-22,BL SOUTHWICK PUBLISHING PTY LTD,202
9781101042182,book not found,,,,,,,,
9780761174981,Stitch 'N Bitch Crochet,Debbie Stoller,ePUB,23.99,,761174982,2006-02-13,Workman Publishing Company,250
9781365501210,book not found,,,,,,,,
9780748115396,Lord of Chaos,Robert Jordan,ePUB,12.99,,748115390,2010-03-16,"Little, Brown Book Group",1056
9780857208347,A Wartime Christmas,Carol Rivers,ePUB,8.99,,857208349,1st August 2013,Simon & Schuster UK,464
9780755376605,Blood Ties,Samantha Hayes,ePUB,12.99,,755376609,4th March 2010,Headline,307
9780785170655,Infinity Gauntlet,Jim Starlin,ePUB,16.12,12.9919%OFF,785170650,28th May 2014,Marvel Entertainment,
9781405926959,No Way Back,M. J. Arlidge,ePUB,2.99,,1405926953,8th August 2016,Penguin Books Ltd,40
9780241397817,Feel Better In 5,Dr Rangan Chatterjee,ePUB,19.99,,241397812,2019-12-26,Penguin Books Ltd,272
9781405919470,Nine Perfect Strangers,Liane Moriarty,ePUB,,,1405919477,4th October 2018,Penguin Books Ltd,
9780316338363,The Fishermen,Chigozie Obioma,E-Book,,,316338362,14th April 2015,Little Brown and Company,352
9780991190928,Escaping Destiny,Amelia Hutchins,ePUB,6.99,,991190920,2015-07-30,Amelia Hutchins,
9780141967561,book not found,,,,,,,,
9780470893869,The Five Dysfunctions of a Team,Patrick M. Lencioni,ePUB,32.99,,470893869,2010-06-03,Wiley Professional Development (P&T),240
9780698407091,Christmas Bells,Jennifer Chiaverini,ePUB,17.14,13.9918%OFF,698407091,2015-10-27,Penguin Publishing Group,
9780857206473,The 7 Habits Of Highly Effective Teenagers,Sean Covey,ePUB,16.99,,857206478,2011-03-31,Simon & Schuster UK,288
9780141919959,Nineteen Eighty-Four,George Orwell,ePUB,10.99,,141919957,2004-01-29,Penguin Books Ltd,400
9781310839696,The King's Men,Nora Sakavic,ePUB,1.43,,1310839697,2015-05-19,Nora Sakavic,
9780061949098,book not found,,,,,,,,
9780307978882,book not found,,,,,,,,
9780230770072,book not found,,,,,,,,
9780486114750,book not found,,,,,,,,
9781405935166,Lucy Sullivan is Getting Married,Marian Keyes,ePUB,15.99,,1405935162,2017-07-13,Penguin Books Ltd,672
9780141941448,The Beach,Alex Garland,ePUB,15.99,,141941448,2007-07-05,Penguin Books Ltd,448
9780575087309,The Green Mile,Stephen King,ePUB,13.99,,575087307,2010-11-25,Orion,448
9780553904567,book not found,,,,,,,,
9780857389572,book not found,,,,,,,,
9781405914895,Eeny Meeny,M. J. Arlidge,ePUB,15.99,,1405914890,2014-05-08,Penguin Books Ltd,464
9780141922324,Tao Te Ching,Lao Tzu,ePUB,10.99,,014192232X,2000-01-01,Penguin Books Ltd,192
9780393069211,Bonk,Mary Roach,ePUB,,,393069214,6th April 2009,,336
9780544859562,The Cake Bible,Rose Levy Beranbaum,ePUB,42.99,,544859561,2016-09-06,HarperCollins,560
9780307538376,Midnight in the Garden of Good and Evil,John Berendt,ePUB,25.7,20.9918%OFF,307538370,2010-05-12,Knopf Doubleday Publishing Group,
9780755399604,A Liverpool Legacy,Anne Baker,Paperback,31.9,,755399609,2014-06-05,Headline,384
9781407059198,The Rainmaker,John Grisham,ePUB,15.99,,140705919X,21st April 2010,Random House,720
9780571247035,book not found,,,,,,,,
9781302013769,Thor,Jason Aaron,ePUB,13.19,10.9917%OFF,1302013769,2014-04-02,Marvel Entertainment,
9781409106968,Fatal Cut,June Hampson,ePUB,11.99,,1409106969,2009-04-16,Orion,320
9780141938332,The Queen and I,Sue Townsend,ePUB,15.99,,141938331,2002-11-28,Penguin Books Ltd,288
9780230760387,book not found,,,,,,,,
9780141357041,All the Bright Places,Jennifer Niven,ePUB,12.99,,141357045,8th January 2015,Penguin Random House Children's UK,300
9781101533475,The Prize,Julie Garwood,ePUB,15.42,12.9916%OFF,1101533471,2011-07-05,Penguin Publishing Group,1
9780857384416,Born Fearless,Phil Campion,ePUB,12.99,,857384414,2011-09-25,Quercus,352
9780141908731,Alone in Berlin,Hans Fallada,ePUB,15.99,,141908734,2010-01-28,Penguin Books Ltd,608
9780316310338,book not found,,,,,,,,
9780241979075,Exit West,Mohsin Hamid,ePUB,15.99,,241979072,2017-03-02,Penguin Books Ltd,240
9780748123056,Let's Explore Diabetes With Owls,David Sedaris,ePUB,12.99,,748123059,2013-04-23,"Little, Brown Book Group",288
9781407035321,Night Watch,Terry Pratchett,ePUB,15.99,,1407035320,2009-12-01,Transworld,480
9780748122660,Safe Haven,Nicholas Sparks,ePUB,11.99,,748122664,2nd September 2010,"Little, Brown Book Group",320
9780307778086,The Autobiography of Saint Therese,John Beevers,ePUB,20.57,16.9917%OFF,307778088,2011-01-26,The Crown Publishing Group,
9780141396217,The Bhagavad Gita,Laurie L. Patton,ePUB,14.99,,141396210,1st May 2014,Penguin Books Ltd,288
9780698151529,My Mother's Secret,J.L. Witterick,ePUB,23.99,19.9917%OFF,698151526,2013-09-05,Penguin Publishing Group,208
9780141929682,The Language Instinct,Steven Pinker,ePUB,16.99,,141929685,2003-02-27,Penguin Books Ltd,496
9781101904190,book not found,,,,,,,,
9781405525855,Ancillary Sword,Ann Leckie,ePUB,11.99,,1405525851,2014-10-07,"Little, Brown Book Group",384
9780759509771,Harriet Tubman,Catherine Clinton,ePUB,21.99,,759509778,2004-02-02,"Little, Brown and Company",300
9780241258750,The Art of Statistics,David Spiegelhalter,ePUB,15.99,,241258758,2019-03-28,Penguin Books Ltd,256
9780759520844,Healing Back Pain,John E. Sarno,ePUB,12.99,,759520844,2001-03-15,Grand Central Publishing,300
9780755355976,book not found,,,,,,,,
9780768448887,Redeeming Your Bloodline,Hrvoje Sirovina,Paperback,32.63,,768448883,2019-05-01,SOUND WISDOM,224
9781407039657,The Lollipop Shoes (Chocolat 2),Joanne Harris,ePUB,15.99,,1407039652,2010-07-06,Transworld,592
9781405919227,book not found,,,,,,,,
9780755118519,The Sleep Of Reason,C.P. Snow,PDF,,,755118510,16th January 2010,,452
9780141908328,A Clockwork Orange,Anthony Burgess,ePUB,15.99,,141908327,4th August 2011,Penguin Books Ltd,176
9780241979457,10 Minutes 38 Seconds in this Strange World,Elif Shafak,ePUB,15.99,,241979455,2019-06-06,Penguin Books Ltd,368
9781250198600,Midnight at the Blackbird Cafe,Heather Webber,ePUB,19.5,15.9918%OFF,1250198607,2019-07-16,Tor Publishing Group,
9780753553176,The 2020 Commission Report on the North Korean Nuclear Attacks Against The United States,Dr Jeffrey Lewis,ePUB,15.99,,753553171,7th August 2018,Ebury Publishing,304
9780715335543,Quick & Clever Watercolor Pencils,Charles Evans,PDF,,,715335545,15th April 2006,DAVID & CHARLES,128
9780141985947,The Scottish Clearances,T. M. Devine,ePUB,15.99,,141985941,2018-10-04,Penguin Books Ltd,400
9781401919276,Ask and It Is Given,Esther Hicks,ePUB,18.34,14.9918%OFF,1401919278,2004-10-01,Hay House,314
9780141991757,No One Is Too Small to Make a Difference,Greta Thunberg,ePUB,14.99,,141991755,2019-05-30,Penguin Books Ltd,80
9780141910338,book not found,,,,,,,,
9780393712384,The Polyvagal Theory in Therapy,Deb Dana,ePUB,51.34,41.9918%OFF,393712389,2018-06-12,W. W. Norton & Company,
9780761148425,How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,ePUB,19.99,,761148426,2008-07-02,Workman Publishing Company,203
9781310198373,Quran In English. Modern English Translation. Clear and Easy to Understand.,Talal Itani,ePUB,0,,1310198373,2015-05-17,Talal Itani,
9780356511511,The Gutter Prayer,Gareth Hanrahan,ePUB,12.99,,356511510,2019-01-15,"Little, Brown Book Group",544
9780761165590,book not found,,,,,,,,
9780307426758,Astrology for the Soul,Jan Spiller,ePUB,17.14,13.9918%OFF,307426750,2009-11-04,Random House Publishing Group,
9780141904160,The Closed Circle,Jonathan Coe,ePUB,15.99,,014190416X,2008-05-19,Penguin Books Ltd,448
9781407135281,The Hunger Games,Suzanne Collins,ePUB,,,1407135287,1st March 2012,Scholastic,
9780141964591,Where Good Ideas Come From,Steven Johnson,ePUB,15.99,,141964596,7th October 2010,Penguin Books Ltd,336
9780997720105,Claiming the Dragon King,Amelia Hutchins,ePUB,6.99,,997720107,2018-07-10,Amelia Hutchins,
9780241192061,book not found,,,,,,,,
9780670923090,The Boy with the Topknot,Sathnam Sanghera,ePUB,15.99,,670923095,2012-11-29,Penguin Books Ltd,336
9780857081025,The Art of War,Sun Tzu,ePUB,16.99,,857081020,2016-05-16,Wiley,220
9780753549063,Lean In,Sheryl Sandberg,ePUB,18.99,,753549069,12th March 2013,Ebury Publishing,240
9780141965550,The Lost Hero (Heroes of Olympus Book 1),Rick Riordan,ePUB,9.99,,014196555X,2010-10-12,Penguin Random House Children's UK,576
9780141909653,The Other Side of the Story,Marian Keyes,ePUB,15.99,,014190965X,2005-03-10,Penguin Books Ltd,656
9780755351473,Another Woman,Penny Vincenzi,ePUB,12.99,,755351479,2008-09-04,Headline,640
9780141959856,Titmuss Regained,John Mortimer,ePUB,15.99,,141959851,2010-11-04,Penguin Books Ltd,272
9781306291859,book not found,,,,,,,,
9780141905570,Thin,Grace Bowman,ePUB,18.99,,141905573,2007-01-25,Penguin Books Ltd,304
9780755384761,Shadow of Night,Deborah Harkness,ePUB,13.99,,755384768,2012-07-10,Headline,605
9780748117468,Lover Mine,J. R. Ward,ePUB,11.99,,748117466,2010-05-06,"Little, Brown Book Group",544
9780804179041,book not found,,,,,,,,
9781407011349,Going Dutch,Katie Fforde,ePUB,15.99,,1407011340,2010-12-07,Random House,432
9780307414250,book not found,,,,,,,,
9780730363996,Xero For Dummies,Heather Smith,ePUB,,,730363996,11th March 2019,Wiley,472
9780755387052,1st to Die,James Patterson,ePUB,12.99,,755387058,2011-06-23,Headline,375
9781407068060,Night Frost,R D Wingfield,ePUB,15.99,,1407068067,2010-04-27,Transworld,432
9780241986233,Notes to Self,Emilie Pine,ePUB,15.99,,241986230,2019-01-31,Penguin Books Ltd,192
9780547607955,The French Slow Cooker,Michele Scicolone,ePUB,39.59,31.9919%OFF,547607954,16th April 2024,HarperCollins,240
9780241361863,Dear Evan Hansen,Val Emmich,ePUB,12.99,,241361869,2018-10-09,Penguin Random House Children's UK,368
9780141900940,Hope,Lesley Pearse,ePUB,15.99,,141900946,2007-01-11,Penguin Books Ltd,688
9780330469289,A Dedicated Man,Peter Robinson,ePUB,,,330469282,4th September 2008,,
9780241352533,A Short History of Europe,Simon Jenkins,ePUB,15.99,,241352533,2018-11-08,Penguin Books Ltd,400
9780141941295,Arnhem,Antony Beevor,ePUB,14.99,,141941294,2018-05-17,Penguin Books Ltd,496
9781108337519,There Is No Planet B,Mike Berners-Lee,PDF,18.95,,1108337511,2019-02-28,Cambridge University Press,
9780241974933,book not found,,,,,,,,
9780717155651,Strumpet City,James Plunkett,ePUB,8.99,,071715565X,2013-02-22,Gill Books,560
9781281371973,book not found,,,,,,,,
9780297857440,book not found,,,,,,,,
9780316448284,"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 1",Kisetsu Morita,ePUB,17.6,16.99,316448281,2018-04-24,Yen Press,
9780241963913,Mr Loverman,Bernardine Evaristo,ePUB,15.99,,241963915,29th August 2013,Penguin Books Ltd,288
9780307422316,book not found,,,,,,,,
9780307514929,The Bridge at Remagen,Ken Hechler,ePUB,14.66,11.9918%OFF,307514927,2009-03-25,Random House Publishing Group,
9780241322499,A Perfect Spy,John le Carré,ePUB,15.99,,241322499,2018-09-27,Penguin Books Ltd,688
9781405525961,Blood Song,Anthony Ryan,ePUB,12.99,,1405525967,2013-04-11,"Little, Brown Book Group",592
9780755350858,The Eagle and the Wolves (Eagles of the Empire 4),Simon Scarrow,ePUB,12.99,,755350855,2008-09-04,Headline,448
9780748110001,Excession,Iain M. Banks,ePUB,12.99,,748110003,2008-09-04,"Little, Brown Book Group",464
9780718197292,Brothers York,Thomas Penn,ePUB,19.99,,718197291,2019-10-03,Penguin Books Ltd,640
9780141962900,The Secret Diary of Adrian Mole Aged 13 ¾,Sue Townsend,ePUB,9.99,,141962909,2009-11-05,Penguin Random House Children's UK,272
9781101155646,The Girl On Legare Street,Karen White,ePUB,10.27,9.99,1101155647,2009-11-03,Penguin Publishing Group,
9780857191410,How I Made $2 Million in the Stock Market,Nicolas Darvas,ePUB,21.99,20.99,857191411,2020-03-27,Harriman House,198
9780748133833,The Summer Queen,Elizabeth Chadwick,ePUB,12.99,,748133836,2013-06-20,"Little, Brown Book Group",496
9780307351487,book not found,,,,,,,,
9781370046782,Hellion,Karen Lynch,ePUB,6.87,,1370046782,8th January 2019,Karen Lynch,
9780755384839,You Can't Hide (The Chicago Series Book 4),Karen Rose,Paperback,30.5,,755384830,2015-07-02,Headline Publishing Group,448
9780307388629,book not found,,,,,,,,
9780307483690,book not found,,,,,,,,
9780330527989,The Winner,David Baldacci,ePUB,,,330527983,16th May 2011,,592
9780307887290,Our Man in Charleston,Christopher Dickey,ePUB,23.99,19.9917%OFF,307887294,2015-07-21,Crown,
9780748109500,Postmortem,Patricia Cornwell,ePUB,12.99,,748109501,2008-09-04,"Little, Brown Book Group",416
9780989768412,Hardwired,Meredith Wild,Paperback,22.17,21.75,989768414,24th January 2015,WATERHOUSE PR,288
9780241376935,One Of Us Is Next,Karen M. McManus,ePUB,9.99,,241376939,2020-01-09,Penguin Random House Children's UK,308
9780748113347,The Blind Assassin,Margaret Atwood,ePUB,11.99,,748113347,2009-09-03,"Little, Brown Book Group",656
9780804151429,Alaska,James A. Michener,ePUB,27.42,21.9920%OFF,804151423,2013-12-17,Random House Publishing Group,
9780755351879,Solo,Jill Mansell,ePUB,11.99,,755351878,2008-02-10,Headline,300
9780755373277,The Hand That First Held Mine,Maggie O'Farrell,ePUB,11.99,,755373278,2010-04-29,Headline,352
9780748109586,The Body Farm,Patricia Cornwell,ePUB,11.99,,748109587,2008-09-04,"Little, Brown Book Group",400
9780748121960,book not found,,,,,,,,
9781407059044,book not found,,,,,,,,
9780755350803,The Eagle In The Sand (Eagles of the Empire 7),Simon Scarrow,ePUB,12.99,,755350804,2008-09-04,Headline,448
9780748114337,Raise the Titanic,Clive Cussler,ePUB,11.99,,748114335,2009-09-17,"Little, Brown Book Group",320
9781401920524,book not found,,,,,,,,
9780141909820,Last Chance Saloon,Marian Keyes,ePUB,15.99,,014190982X,2005-07-07,Penguin Books Ltd,608
9780356503837,The Great Hunt,Robert Jordan,Paperback,22.99,20.3511%OFF,356517012,2021-09-14,Little Brown,720
9781393487326,In Peace Lies Havoc (Midnight Mayhem: Book I),Amo Jones,ePUB,,,1393487327,5th November 2019,?Amo Jones,
9781405528252,The First Fifteen Lives of Harry August,Claire North,ePUB,11.99,,1405528257,2014-04-08,"Little, Brown Book Group",416
9781405515665,The Sword Of Shannara,Terry Brooks,ePUB,12.99,,140551566X,2012-02-23,"Little, Brown Book Group",672
9781101985007,The Dollhouse,Fiona Davis,ePUB,23.99,19.9917%OFF,1101985003,23rd August 2016,Penguin Publishing Group,
9781119278979,The Leadership Challenge,James M. Kouzes,ePUB,41.79,,111927897X,2017-03-30,Wiley Professional Development (P&T),
9780748117383,A Pound Of Flesh,Alex Gray,ePUB,12.99,,748117385,2012-03-01,"Little, Brown Book Group",352
9780755322824,Stardust,Neil Gaiman,Paperback,22.99,19.4016%OFF,755322827,1st May 1999,Headline,214
9780141972091,The Boundless Sea,David Abulafia,ePUB,19.99,,141972092,2019-10-03,Penguin Books Ltd,512
9780141190761,The Lady in the Lake and Other Novels,Raymond Chandler,ePUB,16.99,,141190760,2001-06-07,Penguin Books Ltd,608
9780141970257,book not found,,,,,,,,
9780857899644,Masters of Rome,Robert Fabbri,ePUB,9.49,8.99,857899643,7th August 2014,Corvus,300
9780748122769,Apache Dawn,Damien Lewis,ePUB,,,748122761,2nd September 2010,"Little, Brown Book Group",384
9781370005321,Body Swap,Katrina Kahler,ePUB,,,1370005326,28th March 2017,Katrina Kahler,
9780316247184,Our Band Could Be Your Life,Michael Azerrad,ePUB,25.99,,316247189,2012-12-01,"Little, Brown and Company",528
9780141960241,book not found,,,,,,,,
9780141925325,Any Human Heart,William Boyd,ePUB,15.99,,141925329,2003-03-06,Penguin Books Ltd,512
9780141956961,book not found,,,,,,,,
9780062368683,book not found,,,,,,,,
9780061911491,Hunger,Michael Grant,ePUB,13.99,,61911496,2009-05-26,HarperCollins,608
9781370085170,The Fire Islands,Gilbert M. Stack,ePUB,,,1370085176,1st December 2017,Gilbert M. Stack,
9780061802638,book not found,,,,,,,,
9780241988794,The Catcher in the Rye,J. D. Salinger,ePUB,15.99,,241988799,13th August 2019,Penguin Books Ltd,240
9780748111466,Bloodline,Mark Billingham,ePUB,12.99,,748111468,6th August 2009,"Little, Brown Book Group",352
9780141962016,book not found,,,,,,,,
9780330468565,book not found,,,,,,,,
9780141929552,A Moment of War,Laurie Lee,ePUB,15.99,,141929553,2000-01-01,Penguin Books Ltd,192
9780571357048,book not found,,,,,,,,
9780743483308,Path of the Assassin,Brad Thor,ePUB,9.99,,743483308,2003-04-15,Atria Books,384
9780857896315,The Case of the Missing Boyfriend,Nick Alexander,ePUB,5.99,,857896318,1st August 2011,Corvus,200
9781405522779,book not found,,,,,,,,
9781250175816,The Deceivers,Kristen Simmons,ePUB,14.95,11.9920%OFF,125017581X,2019-02-05,Tor Publishing Group,
9780735214163,Profit First,Mike Michalowicz,ePUB,29.14,23.9918%OFF,735214166,2017-01-18,Penguin Publishing Group,
9780748110049,Matter,Iain M. Banks,ePUB,12.99,,748110046,2008-09-04,"Little, Brown Book Group",608
9780141963792,If Beale Street Could Talk,James Baldwin,ePUB,15.99,,141963794,2000-01-01,Penguin Books Ltd,240
9780307792419,Caves of Steel,Isaac Asimov,ePUB,13.19,10.9917%OFF,307792412,2011-04-13,Random House Publishing Group,
9780241341049,Everything is Figureoutable,Marie Forleo,ePUB,4.99,,241341043,2019-09-12,Penguin Books Ltd,240
9781405934633,The Glass Woman,Caroline Lea,ePUB,15.99,,1405934638,2019-02-07,Penguin Books Ltd,464
9780486113708,book not found,,,,,,,,
9780356511078,book not found,,,,,,,,
9780751564150,Billy Connolly's Tracks Across America,Billy Connolly,ePUB,19.99,,075156415X,2016-03-31,"Little, Brown Book Group",288
9780759574731,book not found,,,,,,,,
9781306020275,book not found,,,,,,,,
9780748123032,Me Talk Pretty One Day,David Sedaris,ePUB,12.99,,748123032,5th August 2010,"Little, Brown Book Group",288
9780330507073,The Red Tent,Anita Diamant,ePUB,,,330507079,18th September 2009,,
9781405527583,The Bones Beneath,Mark Billingham,ePUB,11.99,,1405527587,2014-05-22,"Little, Brown Book Group",400
9780241334225,Brain Freeze,Tom Fletcher,ePUB,1.99,,241334225,2018-02-22,Penguin Random House Children's UK,112
9780061947438,Mere Christianity,C. S. Lewis,ePUB,5.99,,61947431,2009-06-02,HarperCollins,256
9780007328918,A Winter's Tale,Trisha Ashley,ePUB,9.99,,7328915,2009-05-29,HarperCollins Publishers,416
9781407004563,book not found,,,,,,,,
9780755389506,One Cretan Evening and Other Stories,Victoria Hislop,ePUB,3.99,,755389506,2011-09-15,Headline,72
9780297864547,The Hairy Bikers' 12 Days of Christmas,Hairy Bikers,ePUB,19.99,,297864548,2nd December 2010,Orion,224
9780748132034,Quite Ugly One Morning,Christopher Brookmyre,ePUB,11.99,,748132031,2011-06-16,"Little, Brown Book Group",320
9780748121779,Immortal in Death,J.D. Robb,ePUB,11.99,,748121773,2010-10-07,"Little, Brown Book Group",352
9780316310444,book not found,,,,,,,,
9780241969564,book not found,,,,,,,,
9780755357208,The Legion (Eagles of the Empire 10),Simon Scarrow,ePUB,12.99,,755357205,2010-11-11,Headline,448
9780571339150,Ayoade on Top,Richard Ayoade,ePUB,14.29,12.99,571339158,2019-09-03,Faber & Faber,256
9780575097599,Rivers of London,Ben Aaronovitch,ePUB,11.99,,575097590,2011-01-10,Orion,384
9780241243688,Village Christmas,Laurie Lee,ePUB,14.99,,241243688,2015-11-05,Penguin Books Ltd,200
9780062982735,book not found,,,,,,,,
9781405928571,Into the Fire,Gregg Hurwitz,ePUB,15.99,,1405928573,2020-02-20,Penguin Books Ltd,400
9780753549049,The Bracelet,Fredrica Alleyn,ePUB,16.99,,753549042,2013-04-11,Ebury Publishing,320
9780141964072,Belle,Lesley Pearse,ePUB,15.99,,141964073,2011-02-03,Penguin Books Ltd,624
9780141386041,Revolting Rhymers,Quentin Blake,ePUB,0,,141386045,2017-02-06,Penguin Random House Children's UK,32
9780748129454,Rafa,Rafael Nadal,ePUB,12.99,,748129456,18th August 2011,"Little, Brown Book Group",320
9780141939230,White Teeth,Zadie Smith,ePUB,15.99,,141939230,2001-01-25,Penguin Books Ltd,560
9781401944865,You Are the Placebo,Dr. Joe Dispenza,ePUB,27.86,22.9917%OFF,1401944868,2014-04-29,Hay House,
9780241981368,An Almost Perfect Christmas,Nina Stibbe,ePUB,15.99,,241981360,2017-11-02,Penguin Books Ltd,176
9781370912865,book not found,,,,,,,,
9781473573222,The Children's Block,Otto B Kraus,ePUB,15.99,,147357322X,2019-10-17,Ebury Publishing,320
9780241404171,How Not to Be a Professional Racing Driver,Jason Plato,ePUB,14.99,,241404177,2019-09-19,Penguin Books Ltd,304
